#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
117,Roman Kovalenko Mykolayovych,"March 20, 1982",Kyiv Oblast,Odesa Oblast,Captain,Battalion 1,"https://example10.com, https://example10.com, https://example2.com, https://example1.com, https://example10.com, https://example4.com, https://example6.com, https://example3.com"
118,Andrij Bondarenko Volodymyrovych,"May 03, 1972",Kyiv Oblast,Zhytomyr Oblast,Private,Battalion 2,"https://example6.com, https://example1.com, https://example7.com"
119,Roman Hrytsenko Yuriyovych,"August 04, 1984",Odesa Oblast,Kyiv Oblast,Private,Special Forces,"https://example5.com, https://example1.com, https://example4.com, https://example5.com, https://example8.com, https://example3.com"
120,Ihor Bondarenko Yuriyovych,"December 17, 1973",Kharkiv Oblast,Kyiv Oblast,Major,Special Forces,"https://example8.com, https://example6.com, https://example5.com, https://example5.com, https://example4.com, https://example10.com"
121,Mykola Kovalenko Oleksandrovych,"November 21, 1982",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Special Forces,"https://example10.com, https://example8.com, https://example9.com"
122,Oleh Sakalo Mykolayovych,"October 23, 1972","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Captain,Battalion 1,"https://example4.com, https://example9.com, https://example1.com"
123,Yuriy Hrytsenko Oleksandrovych,"July 25, 1978",Lviv Oblast,Zhytomyr Oblast,Captain,Unknown,"https://example10.com, https://example9.com, https://example3.com, https://example3.com, https://example9.com, https://example6.com"
124,Volodymyr Sakalo Petrovych,"December 16, 1961",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Recon Squad,"https://example6.com, https://example4.com, https://example9.com, https://example6.com, https://example9.com"
125,Oleksandr Hrytsenko Romanovych,"July 03, 1965","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example8.com, https://example3.com, https://example6.com, https://example9.com, https://example1.com, https://example3.com, https://example1.com, https://example8.com"
126,Andrij Zinchenko Romanovych,"October 09, 1970",Zhytomyr Oblast,Donetsk Oblast,Major,Infantry,"https://example3.com, https://example9.com, https://example6.com, https://example2.com, https://example4.com"
127,Serhiy Bondarenko Romanovych,"September 20, 1963","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Infantry,"https://example9.com, https://example2.com, https://example2.com, https://example5.com, https://example1.com, https://example5.com, https://example7.com"
128,Yuriy Shevchenko Serhiyovych,"June 23, 1998",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 2,"https://example5.com, https://example10.com, https://example4.com, https://example6.com, https://example1.com, https://example6.com, https://example10.com"
129,Andrij Hrytsenko Oleksandrovych,"July 07, 2000",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example9.com, https://example5.com, https://example8.com"
130,Mykola Lysenko Romanovych,"September 15, 1960","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Sergeant,Recon Squad,"https://example9.com, https://example2.com, https://example4.com, https://example9.com, https://example4.com"
131,Dmytro Zinchenko Volodymyrovych,"February 20, 1986",Odesa Oblast,Lviv Oblast,Sergeant,Battalion 2,"https://example6.com, https://example2.com, https://example7.com, https://example10.com, https://example5.com, https://example6.com"
132,Roman Sakalo Yuriyovych,"September 25, 1967",Zhytomyr Oblast,Kyiv Oblast,Captain,Recon Squad,"https://example1.com, https://example2.com, https://example6.com, https://example8.com"
133,Mykola Tkachuk Mykhailovych,"May 17, 1971",Donetsk Oblast,Lviv Oblast,Colonel,Infantry,"https://example7.com, https://example1.com, https://example3.com, https://example7.com, https://example8.com, https://example7.com"
134,Oleksandr Kravchenko Romanovych,"August 07, 1998",Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Infantry,"https://example9.com, https://example9.com, https://example3.com, https://example7.com, https://example4.com, https://example5.com, https://example7.com, https://example7.com"
135,Mykola Shevchenko Ivanovych,"March 01, 1993","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Major,Battalion 1,"https://example4.com, https://example4.com, https://example1.com, https://example9.com, https://example8.com, https://example5.com, https://example4.com"
136,Dmytro Shevchenko Petrovych,"April 01, 1962",Zhytomyr Oblast,Lviv Oblast,Colonel,Battalion 2,"https://example8.com, https://example9.com, https://example10.com"
137,Yuriy Shevchenko Mykolayovych,"June 13, 1972",Kyiv Oblast,Lviv Oblast,Colonel,Unknown,"https://example1.com, https://example9.com, https://example10.com, https://example10.com, https://example5.com, https://example6.com"
138,Ihor Bondarenko Vasyl'ovych,"January 13, 1960",Zhytomyr Oblast,Kharkiv Oblast,Captain,Special Forces,"https://example10.com, https://example2.com, https://example10.com, https://example10.com, https://example9.com, https://example4.com, https://example9.com"
139,Oleh Hrytsenko Yuriyovych,"December 31, 1980",Odesa Oblast,Odesa Oblast,Sergeant,Battalion 1,"https://example4.com, https://example6.com, https://example9.com, https://example7.com"
140,Yuriy Sakalo Vasyl'ovych,"March 07, 1984",Kyiv Oblast,Kharkiv Oblast,Major,Recon Squad,"https://example7.com, https://example1.com, https://example4.com, https://example10.com, https://example3.com"
141,Roman Kravchenko Oleksandrovych,"January 23, 1962","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example2.com, https://example3.com, https://example7.com"
142,Serhiy Lysenko Romanovych,"August 10, 1961","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Captain,Unknown,"https://example10.com, https://example4.com, https://example1.com, https://example3.com, https://example9.com, https://example8.com, https://example6.com, https://example8.com"
143,Andrij Shevchenko Petrovych,"August 08, 1977",Zhytomyr Oblast,Donetsk Oblast,Captain,Battalion 1,"https://example7.com, https://example3.com, https://example10.com, https://example4.com"
144,Oleh Kovalenko Yuriyovych,"April 22, 1963","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Recon Squad,"https://example8.com, https://example9.com, https://example2.com, https://example4.com, https://example5.com, https://example7.com, https://example4.com, https://example7.com"
145,Mykola Tkachuk Mykhailovych,"February 20, 1986","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Major,Special Forces,"https://example6.com, https://example9.com, https://example8.com, https://example9.com, https://example10.com, https://example1.com, https://example9.com"
146,Oleh Kovalenko Yuriyovych,"January 08, 1993",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Battalion 1,"https://example4.com, https://example6.com, https://example7.com, https://example7.com, https://example3.com"
147,Roman Kravchenko Oleksandrovych,"October 26, 1986",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Recon Squad,"https://example4.com, https://example9.com, https://example2.com, https://example2.com, https://example9.com, https://example4.com, https://example3.com"
148,Ihor Tkachuk Volodymyrovych,"June 30, 1999",Chernivtsi Oblast,Odesa Oblast,Colonel,Battalion 1,"https://example2.com, https://example3.com, https://example3.com, https://example6.com"
149,Oleh Hrytsenko Serhiyovych,"September 13, 1965","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Sergeant,Battalion 1,"https://example3.com, https://example2.com, https://example1.com, https://example1.com, https://example4.com, https://example1.com"
150,Oleksandr Sakalo Mykhailovych,"June 24, 1999",Lviv Oblast,Chernivtsi Oblast,Sergeant,Special Forces,"https://example8.com, https://example1.com, https://example10.com, https://example3.com, https://example8.com"
151,Volodymyr Tkachuk Serhiyovych,"July 17, 1986",Odesa Oblast,Chernivtsi Oblast,Sergeant,Battalion 1,"https://example1.com, https://example2.com, https://example5.com, https://example6.com, https://example5.com, https://example9.com, https://example3.com, https://example10.com"
152,Ihor Kovalenko Ivanovych,"September 18, 1983","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example1.com, https://example10.com, https://example2.com, https://example3.com, https://example1.com, https://example4.com"
153,Yuriy Lysenko Volodymyrovych,"September 19, 1989","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example4.com, https://example8.com, https://example6.com, https://example7.com, https://example6.com"
154,Roman Lysenko Serhiyovych,"January 16, 1962",Donetsk Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example3.com, https://example2.com, https://example7.com"
155,Serhiy Bondarenko Serhiyovych,"November 05, 1972",Chernivtsi Oblast,Odesa Oblast,Captain,Battalion 2,"https://example5.com, https://example9.com, https://example2.com, https://example8.com, https://example2.com, https://example8.com, https://example2.com, https://example6.com"
156,Roman Shevchenko Yuriyovych,"April 30, 1974","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Senior soldier,Unknown,"https://example9.com, https://example5.com, https://example9.com"
157,Roman Zinchenko Vasyl'ovych,"April 02, 1966",Lviv Oblast,Lviv Oblast,Lieutenant,Unknown,"https://example10.com, https://example4.com, https://example8.com, https://example2.com, https://example5.com"
158,Dmytro Kravchenko Volodymyrovych,"November 19, 1965",Kharkiv Oblast,Kharkiv Oblast,Lieutenant,Battalion 2,"https://example7.com, https://example9.com, https://example2.com, https://example2.com, https://example3.com, https://example4.com, https://example5.com, https://example5.com"
159,Andrij Kravchenko Yuriyovych,"July 24, 1994",Chernivtsi Oblast,Zhytomyr Oblast,Sergeant,Battalion 1,"https://example4.com, https://example3.com, https://example5.com, https://example7.com"
160,Andrij Bondarenko Oleksandrovych,"July 10, 1968","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Private,Battalion 1,"https://example6.com, https://example8.com, https://example6.com, https://example3.com, https://example9.com, https://example2.com, https://example9.com"
161,Ihor Bondarenko Vasyl'ovych,"January 02, 2000",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example3.com, https://example6.com, https://example3.com, https://example5.com, https://example3.com, https://example4.com, https://example8.com"
162,Yuriy Sakalo Romanovych,"January 11, 1983",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Infantry,"https://example4.com, https://example10.com, https://example6.com, https://example10.com, https://example1.com, https://example4.com, https://example7.com, https://example8.com"
163,Yuriy Zinchenko Mykolayovych,"February 07, 1990",Lviv Oblast,Chernivtsi Oblast,Private,Infantry,"https://example8.com, https://example7.com, https://example5.com, https://example8.com, https://example8.com"
164,Dmytro Zinchenko Vasyl'ovych,"October 26, 1971",Zhytomyr Oblast,Odesa Oblast,Colonel,Battalion 2,"https://example7.com, https://example2.com, https://example3.com, https://example1.com"
165,Volodymyr Bibikov Petrovych,"July 12, 1986",Lviv Oblast,Kharkiv Oblast,Captain,Recon Squad,"https://example4.com, https://example10.com, https://example9.com, https://example7.com"
166,Serhiy Hrytsenko Vasyl'ovych,"August 09, 1968",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Infantry,"https://example9.com, https://example5.com, https://example3.com, https://example2.com"
167,Oleksandr Shevchenko Yuriyovych,"October 25, 1998",Lviv Oblast,Kharkiv Oblast,Sergeant,Unknown,"https://example9.com, https://example6.com, https://example3.com, https://example3.com, https://example4.com, https://example8.com"
168,Oleh Shevchenko Petrovych,"October 17, 1960",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example10.com, https://example9.com, https://example5.com, https://example2.com, https://example5.com, https://example9.com, https://example4.com"
169,Ihor Bibikov Volodymyrovych,"May 09, 1980","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Private,Unknown,"https://example10.com, https://example3.com, https://example7.com"
170,Yuriy Lysenko Romanovych,"July 08, 1976","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Lieutenant,Recon Squad,"https://example1.com, https://example1.com, https://example4.com, https://example6.com, https://example1.com, https://example7.com"
171,Volodymyr Hrytsenko Romanovych,"November 02, 1978",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example10.com, https://example1.com, https://example4.com, https://example1.com, https://example7.com, https://example10.com, https://example8.com"
