#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
112,Roman Shevchenko Ivanovych,"March 01, 1963",81,?,Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Recon Squad,"https://example1.com, https://example6.com, https://example4.com, https://example6.com, https://example10.com, https://example4.com, https://example6.com"
113,Oleksandr Kovalenko Oleksandrovych,"July 31, 1987",21,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Infantry,"https://example10.com, https://example10.com, https://example3.com"
114,Oleh Sakalo Vasyl'ovych,"April 21, 1989",55,?,Lviv Oblast,Zhytomyr Oblast,Colonel,Unknown,"https://example7.com, https://example5.com, https://example6.com"
115,Roman Tkachuk Ivanovych,"April 22, 1994",89,?,Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Unknown,"https://example4.com, https://example6.com, https://example5.com, https://example9.com, https://example10.com"
116,Mykola Lysenko Oleksandrovych,"December 20, 1966",93,"March 30, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Major,Battalion 1,"https://example1.com, https://example8.com, https://example1.com, https://example10.com, https://example9.com, https://example3.com, https://example2.com, https://example4.com"
117,Yuriy Kovalenko Volodymyrovych,"April 25, 1971",29,"April 28, 2024",Kharkiv Oblast,Odesa Oblast,Lieutenant,Infantry,"https://example6.com, https://example2.com, https://example10.com, https://example10.com, https://example8.com, https://example6.com, https://example8.com"
118,Mykola Sakalo Vasyl'ovych,"January 07, 1980",42,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Lieutenant,Infantry,"https://example6.com, https://example4.com, https://example3.com, https://example8.com, https://example10.com"
119,Oleksandr Hrytsenko Oleksandrovych,"October 06, 1995",71,?,Kharkiv Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example6.com, https://example3.com, https://example5.com, https://example2.com, https://example10.com, https://example8.com, https://example2.com"
120,Roman Hrytsenko Serhiyovych,"July 17, 1992",50,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Battalion 1,"https://example7.com, https://example10.com, https://example10.com, https://example8.com, https://example4.com, https://example10.com, https://example1.com"
121,Yuriy Tkachuk Yuriyovych,"April 07, 1995",77,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Sergeant,Recon Squad,"https://example10.com, https://example2.com, https://example10.com, https://example1.com, https://example2.com, https://example7.com, https://example10.com, https://example2.com"
122,Oleksandr Tkachuk Serhiyovych,"October 19, 1990",56,"May 03, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Private,Infantry,"https://example8.com, https://example7.com, https://example4.com, https://example3.com"
123,Ihor Sakalo Romanovych,"June 08, 1971",81,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example10.com, https://example3.com, https://example6.com, https://example1.com, https://example5.com, https://example1.com"
124,Dmytro Hrytsenko Oleksandrovych,"February 18, 1992",57,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Lieutenant,Recon Squad,"https://example9.com, https://example8.com, https://example6.com, https://example5.com, https://example1.com, https://example5.com, https://example8.com, https://example3.com"
125,Serhiy Zinchenko Mykhailovych,"October 18, 1988",4,?,Donetsk Oblast,Odesa Oblast,Senior soldier,Unknown,"https://example9.com, https://example7.com, https://example6.com, https://example3.com, https://example8.com, https://example6.com"
126,Dmytro Sakalo Ivanovych,"June 05, 1980",8,"December 25, 2023",Chernivtsi Oblast,Donetsk Oblast,Private,Unknown,"https://example4.com, https://example8.com, https://example7.com, https://example2.com, https://example2.com, https://example4.com, https://example4.com, https://example1.com"
127,Andrij Bibikov Mykhailovych,"June 03, 1968",91,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example4.com, https://example2.com, https://example1.com, https://example6.com"
128,Oleksandr Tkachuk Serhiyovych,"November 10, 1990",56,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example9.com, https://example8.com, https://example8.com, https://example9.com, https://example9.com, https://example10.com, https://example6.com, https://example7.com"
129,Serhiy Kravchenko Vasyl'ovych,"September 25, 1990",81,?,Donetsk Oblast,Lviv Oblast,Sergeant,Special Forces,"https://example4.com, https://example9.com, https://example8.com, https://example10.com, https://example1.com, https://example2.com, https://example7.com"
130,Dmytro Zinchenko Oleksandrovych,"April 18, 1960",34,"November 28, 2024",Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Infantry,"https://example1.com, https://example2.com, https://example9.com, https://example1.com"
131,Yuriy Shevchenko Volodymyrovych,"June 22, 1964",86,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Colonel,Infantry,"https://example10.com, https://example5.com, https://example10.com"
132,Serhiy Hrytsenko Serhiyovych,"July 18, 1966",50,?,Lviv Oblast,Kyiv Oblast,Colonel,Battalion 2,"https://example7.com, https://example3.com, https://example6.com, https://example1.com, https://example9.com, https://example8.com, https://example8.com, https://example5.com"
133,Dmytro Sakalo Volodymyrovych,"May 16, 1986",83,?,Lviv Oblast,Odesa Oblast,Lieutenant,Infantry,"https://example4.com, https://example9.com, https://example9.com, https://example5.com, https://example1.com, https://example3.com, https://example8.com"
134,Dmytro Shevchenko Ivanovych,"January 02, 1968",99,?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 2,"https://example8.com, https://example8.com, https://example2.com, https://example4.com, https://example2.com, https://example4.com, https://example10.com"
135,Mykola Kravchenko Petrovych,"February 03, 1965",90,"May 01, 2023",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Unknown,"https://example8.com, https://example6.com, https://example1.com, https://example2.com, https://example8.com, https://example9.com, https://example1.com"
136,Serhiy Kravchenko Romanovych,"October 02, 1971",51,"November 18, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Sergeant,Battalion 1,"https://example8.com, https://example4.com, https://example6.com, https://example2.com"
137,Dmytro Bibikov Mykhailovych,"June 02, 1963",18,"February 16, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Sergeant,Recon Squad,"https://example6.com, https://example7.com, https://example8.com"
138,Roman Bondarenko Serhiyovych,"August 01, 1960",86,"October 29, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Colonel,Battalion 1,"https://example4.com, https://example4.com, https://example8.com, https://example2.com, https://example1.com"
139,Serhiy Bibikov Mykolayovych,"March 27, 1981",45,?,Kyiv Oblast,Chernivtsi Oblast,Private,Battalion 2,"https://example3.com, https://example10.com, https://example6.com, https://example2.com"
140,Ihor Kravchenko Mykolayovych,"March 16, 1997",32,"September 14, 2023",Donetsk Oblast,Odesa Oblast,Sergeant,Recon Squad,"https://example6.com, https://example5.com, https://example9.com, https://example7.com, https://example2.com"
141,Andrij Hrytsenko Mykolayovych,"June 06, 1991",70,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Captain,Infantry,"https://example10.com, https://example9.com, https://example10.com, https://example8.com"
142,Andrij Bondarenko Vasyl'ovych,"May 09, 1962",61,?,Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Infantry,"https://example4.com, https://example4.com, https://example9.com, https://example9.com, https://example10.com"
143,Andrij Bondarenko Oleksandrovych,"March 29, 1968",90,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example7.com, https://example4.com, https://example2.com, https://example9.com"
144,Ihor Bondarenko Volodymyrovych,"September 23, 1983",91,"May 11, 2022",Zhytomyr Oblast,Zhytomyr Oblast,Major,Unknown,"https://example6.com, https://example9.com, https://example4.com, https://example7.com, https://example9.com, https://example8.com, https://example1.com, https://example8.com"
145,Mykola Kravchenko Mykhailovych,"March 07, 1964",20,"January 19, 2023",Kharkiv Oblast,Zhytomyr Oblast,Private,Infantry,"https://example7.com, https://example3.com, https://example5.com"
146,Serhiy Zinchenko Romanovych,"October 12, 1962",42,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Major,Infantry,"https://example3.com, https://example7.com, https://example7.com, https://example8.com, https://example4.com"
147,Volodymyr Sakalo Ivanovych,"November 19, 1963",92,"October 20, 2022",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Recon Squad,"https://example1.com, https://example7.com, https://example6.com, https://example9.com, https://example6.com, https://example4.com, https://example9.com"
148,Oleksandr Kovalenko Ivanovych,"March 23, 1971",20,?,Kharkiv Oblast,Odesa Oblast,Major,Battalion 2,"https://example6.com, https://example6.com, https://example10.com, https://example8.com, https://example6.com, https://example4.com, https://example7.com"
149,Roman Bibikov Volodymyrovych,"July 09, 1981",4,?,Kyiv Oblast,Kharkiv Oblast,Lieutenant,Recon Squad,"https://example2.com, https://example3.com, https://example9.com, https://example8.com, https://example4.com, https://example1.com"
150,Volodymyr Zinchenko Serhiyovych,"August 04, 1974",52,"September 04, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Infantry,"https://example5.com, https://example7.com, https://example3.com"
151,Andrij Bondarenko Serhiyovych,"December 18, 1975",97,?,Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Special Forces,"https://example7.com, https://example10.com, https://example8.com, https://example10.com"
152,Roman Tkachuk Serhiyovych,"March 27, 1977",36,"November 22, 2024",Odesa Oblast,Chernivtsi Oblast,Sergeant,Battalion 1,"https://example7.com, https://example8.com, https://example2.com, https://example4.com, https://example10.com, https://example7.com"
153,Volodymyr Kovalenko Serhiyovych,"March 12, 1964",0,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Colonel,Unknown,"https://example2.com, https://example6.com, https://example10.com"
154,Oleksandr Kravchenko Mykolayovych,"May 31, 1988",54,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 1,"https://example6.com, https://example10.com, https://example6.com, https://example6.com, https://example2.com, https://example3.com, https://example10.com"
155,Andrij Kravchenko Petrovych,"August 31, 2000",14,?,Lviv Oblast,Donetsk Oblast,Sergeant,Battalion 1,"https://example9.com, https://example8.com, https://example1.com, https://example4.com, https://example6.com, https://example3.com, https://example1.com"
156,Mykola Bibikov Oleksandrovych,"December 20, 1974",70,?,Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 2,"https://example9.com, https://example2.com, https://example2.com, https://example1.com"
157,Mykola Shevchenko Serhiyovych,"November 08, 1996",52,"November 23, 2023",Chernivtsi Oblast,Odesa Oblast,Major,Infantry,"https://example2.com, https://example4.com, https://example8.com, https://example2.com, https://example4.com"
158,Serhiy Kovalenko Oleksandrovych,"May 20, 1966",73,"June 22, 2023",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Infantry,"https://example5.com, https://example9.com, https://example3.com, https://example3.com, https://example4.com, https://example7.com"
159,Mykola Sakalo Romanovych,"March 13, 1995",32,"May 24, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example2.com, https://example2.com, https://example5.com, https://example4.com, https://example9.com, https://example1.com, https://example3.com"
160,Oleh Lysenko Mykolayovych,"October 16, 1992",3,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Captain,Battalion 1,"https://example2.com, https://example5.com, https://example3.com"
161,Serhiy Hrytsenko Ivanovych,"December 19, 1977",71,?,Donetsk Oblast,Odesa Oblast,Major,Battalion 1,"https://example5.com, https://example2.com, https://example2.com, https://example5.com"
162,Oleksandr Bondarenko Petrovych,"January 31, 1968",89,"January 25, 2023",Donetsk Oblast,Kharkiv Oblast,Sergeant,Special Forces,"https://example9.com, https://example4.com, https://example8.com, https://example6.com"
163,Andrij Bondarenko Oleksandrovych,"November 12, 1996",21,?,Chernivtsi Oblast,Donetsk Oblast,Lieutenant,Recon Squad,"https://example2.com, https://example6.com, https://example4.com, https://example8.com, https://example10.com, https://example7.com"
164,Oleh Zinchenko Volodymyrovych,"June 05, 1981",2,"September 02, 2022",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Recon Squad,"https://example3.com, https://example3.com, https://example1.com, https://example5.com, https://example7.com"
